var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape
27,0,2700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0027_iter0000_d000027.csv,uniform,uniform,0.5243064267130608,1.3457176891587648,0.868623948169398,1.275187014358098,0.25,0.25
28,0,2800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0028_iter0000_d000028.csv,uniform,uniform,0.9315318636960442,1.3342259605651574,0.954770601413857,1.429238242413007,0.25,0.25
29,0,2900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0029_iter0000_d000029.csv,uniform,uniform,1.0574625324782039,1.4602735145363632,1.0047903677674301,1.4111398989757327,0.25,0.25
30,0,3000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0030_iter0000_d000030.csv,uniform,uniform,0.7065859872824751,1.275871538085335,1.0796372484704422,1.491085835775746,0.25,0.25
31,0,3100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0031_iter0000_d000031.csv,uniform,uniform,0.6553187559025594,1.16278741311417,1.032870992395508,1.4480333829733567,0.25,0.25
32,0,3200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0032_iter0000_d000032.csv,uniform,uniform,0.5747328235011702,1.1261835061323107,0.8516738388876397,1.3892690062011472,0.25,0.25
33,0,3300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0033_iter0000_d000033.csv,uniform,uniform,0.9858264655476667,1.4498179859637492,0.6730527286587263,1.249337695513125,0.25,0.25
34,0,3400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0034_iter0000_d000034.csv,uniform,uniform,0.9908725825825464,1.459241614821759,1.0754465856184654,1.4845167251983662,0.25,0.25
35,0,3500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0035_iter0000_d000035.csv,uniform,uniform,0.8315669063127724,1.3909958171675119,1.008974724965036,1.4222164937887745,0.25,0.25
36,0,3600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0036_iter0000_d000036.csv,uniform,uniform,0.743906202048876,1.4679369446868646,0.5258401331409225,1.3982050614340604,0.25,0.25
37,0,3700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0037_iter0000_d000037.csv,uniform,uniform,0.7492304224227349,1.440300415810666,0.5059727364843751,1.1228201066344137,0.25,0.25
38,0,3800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0038_iter0000_d000038.csv,uniform,uniform,0.547178022299384,1.307957703066054,0.6643094591597343,1.3704483198480293,0.25,0.25
39,0,3900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0039_iter0000_d000039.csv,uniform,uniform,1.0662808561652546,1.4705570202771072,1.0188669772404646,1.4236914836056311,0.25,0.25
40,0,4000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0040_iter0000_d000040.csv,uniform,uniform,0.7284623049865337,1.2881395690533985,0.7933097281000786,1.4927812231146727,0.25,0.25
41,0,4100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0041_iter0000_d000041.csv,uniform,uniform,0.965414712861097,1.4069823697076331,0.6619020713004802,1.440033244974527,0.25,0.25
42,0,4200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0042_iter0000_d000042.csv,uniform,uniform,1.028784303642614,1.465154623069152,0.7065774385773952,1.498000370094649,0.25,0.25
43,0,4300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0043_iter0000_d000043.csv,uniform,uniform,0.6895661272206202,1.1645574765081828,1.028058872782442,1.4864991970012893,0.25,0.25
44,0,4400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0044_iter0000_d000044.csv,uniform,uniform,0.9007336433428108,1.4917132359177883,1.0554287463286514,1.4887791201785208,0.25,0.25
45,0,4500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0045_iter0000_d000045.csv,uniform,uniform,1.0164208457286068,1.43707716126566,0.584747934140619,1.329998686253697,0.25,0.25
46,0,4600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0046_iter0000_d000046.csv,uniform,uniform,0.9287711219928517,1.3573754075560482,0.7373343638629256,1.4674528503651112,0.25,0.25
47,0,4700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0047_iter0000_d000047.csv,uniform,uniform,0.8368404605301338,1.3890350735610155,0.6164778637344761,1.2708212651093855,0.25,0.25
48,0,4800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0048_iter0000_d000048.csv,uniform,uniform,0.8140608364369519,1.2394910190199153,1.089165615876024,1.4953563352981116,0.25,0.25
49,0,4900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0049_iter0000_d000049.csv,uniform,uniform,0.5038453295985861,1.3644637594910234,1.0869594283040875,1.4946516706996769,0.25,0.25
50,0,5000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0050_iter0000_d000050.csv,uniform,uniform,0.691808981769599,1.1683479471785803,0.9035159803501216,1.341851466262345,0.25,0.25
51,0,5100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0051_iter0000_d000051.csv,uniform,uniform,0.8466127355107156,1.3992124729818287,1.0774538558746287,1.4790831589665234,0.25,0.25
52,0,5200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0052_iter0000_d000052.csv,uniform,uniform,0.7999836941951711,1.4232250710882364,0.6063360442847953,1.1979106021790125,0.25,0.25
53,0,5300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0053_iter0000_d000053.csv,uniform,uniform,0.5377372990729828,1.3458730340907872,0.5526607320556921,1.168909938479208,0.25,0.25
54,0,5400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0054_iter0000_d000054.csv,uniform,uniform,1.0241135786724394,1.4599547610201995,1.0475731601845315,1.4877277742281527,0.25,0.25
55,0,5500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0055_iter0000_d000055.csv,uniform,uniform,1.0491943760670597,1.4556671654327233,0.5441377431983793,0.9832294532197678,0.25,0.25
56,0,5600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0056_iter0000_d000056.csv,uniform,uniform,1.0213125766083917,1.4712059095332122,0.7979430162793119,1.247342447282998,0.25,0.25
57,0,5700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0057_iter0000_d000057.csv,uniform,uniform,0.9042400626363643,1.3664951265616048,0.926527917959567,1.40638671533659,0.25,0.25
58,0,5800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0058_iter0000_d000058.csv,uniform,uniform,0.8044819163267163,1.4378424203257172,0.5556472853140284,1.270696047745767,0.25,0.25
59,0,5900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0059_iter0000_d000059.csv,uniform,uniform,0.6183409683775212,1.4075873336745799,0.793307621677556,1.4965329449044342,0.25,0.25
60,0,6000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0060_iter0000_d000060.csv,uniform,uniform,0.6097659948054313,1.4818707249475804,0.9805502219651655,1.4380366814580157,0.25,0.25
61,0,6100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0061_iter0000_d000061.csv,uniform,uniform,0.9881204385077813,1.4555669096722215,0.8930726383948282,1.4821402572448852,0.25,0.25
62,0,6200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0062_iter0000_d000062.csv,uniform,uniform,0.5391622498467749,1.4074551555592865,0.7290888679797434,1.2498373609718876,0.25,0.25
63,0,6300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0063_iter0000_d000063.csv,uniform,uniform,1.0964160627259907,1.4992158004844842,0.7913210832677526,1.3217775588564409,0.25,0.25
64,0,6400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0064_iter0000_d000064.csv,uniform,uniform,1.0265173435230777,1.4328967309551326,0.9250512541483197,1.4631128658485897,0.25,0.25
65,0,6500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0065_iter0000_d000065.csv,uniform,uniform,0.979517827829669,1.4183476324879856,0.9779835096476328,1.405477295301869,0.25,0.25
66,0,6600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0066_iter0000_d000066.csv,uniform,uniform,0.7173847702907414,1.2771067756335166,0.8248459901780988,1.2558320918123256,0.25,0.25
67,0,6700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0067_iter0000_d000067.csv,uniform,uniform,0.7441686803835837,1.1442756753411258,0.9466284358084395,1.47728197696492,0.25,0.25
68,0,6800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0068_iter0000_d000068.csv,uniform,uniform,0.5833590074721186,1.3469635858331155,0.9926618530367833,1.4980494858498445,0.25,0.25
69,0,6900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0069_iter0000_d000069.csv,uniform,uniform,1.0062743374212362,1.4460239987734271,1.0878132251057941,1.4996829537981968,0.25,0.25
70,0,7000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0070_iter0000_d000070.csv,uniform,uniform,0.8022061875203474,1.4265779047448461,1.0483026006038978,1.472918165954751,0.25,0.25
71,0,7100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0071_iter0000_d000071.csv,uniform,uniform,1.018271744658251,1.4756097195651003,0.6763545535847346,1.401566942193575,0.25,0.25
72,0,7200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0072_iter0000_d000072.csv,uniform,uniform,0.8424108715156995,1.2665843628010605,0.7348282557827985,1.1617563902656194,0.25,0.25
73,0,7300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0073_iter0000_d000073.csv,uniform,uniform,0.7857001779301974,1.3203901005193812,0.7542424657822684,1.3569602303508022,0.25,0.25
74,0,7400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0074_iter0000_d000074.csv,uniform,uniform,0.5736143961056441,1.4651369076710512,0.9104302688450199,1.4665942794860218,0.25,0.25
75,0,7500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0075_iter0000_d000075.csv,uniform,uniform,1.0380807393582558,1.474199485381265,0.5241309325427604,1.3338541864555666,0.25,0.25
76,0,7600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0076_iter0000_d000076.csv,uniform,uniform,0.8414155125580149,1.4549952375019535,0.8192962840846065,1.447576923599588,0.25,0.25
77,0,7700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0077_iter0000_d000077.csv,uniform,uniform,1.0982061758434951,1.4988350095323058,0.6026128640124044,1.197426870751297,0.25,0.25
78,0,7800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0078_iter0000_d000078.csv,uniform,uniform,0.9518299939194059,1.4169105474236239,0.8530280656575289,1.2844820338229253,0.25,0.25
79,0,7900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0079_iter0000_d000079.csv,uniform,uniform,0.9356741065603882,1.3816988974838131,0.614370536242411,1.43344448130398,0.25,0.25
80,0,8000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0080_iter0000_d000080.csv,uniform,uniform,0.8386476926723565,1.365272609152352,1.0392942591490908,1.4445157078025654,0.25,0.25
81,0,8100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0081_iter0000_d000081.csv,uniform,uniform,0.9176926702045357,1.3774862456717227,0.6052458499910487,1.3391052824827976,0.25,0.25
82,0,8200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0082_iter0000_d000082.csv,uniform,uniform,0.7176931705177617,1.243814600297922,1.0662066591375128,1.4729416158974227,0.25,0.25
83,0,8300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0083_iter0000_d000083.csv,uniform,uniform,0.8073041947026411,1.2143327578109089,0.5980208546821737,1.4414786355493057,0.25,0.25
84,0,8400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0084_iter0000_d000084.csv,uniform,uniform,0.9735485289516058,1.4439611958008864,0.6334720375948162,1.2936768808515513,0.25,0.25
85,0,8500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0085_iter0000_d000085.csv,uniform,uniform,0.5072879156681676,1.3298878567767038,0.9300504083382369,1.439845496288453,0.25,0.25
86,0,8600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0086_iter0000_d000086.csv,uniform,uniform,0.8668032105651208,1.2839936459817556,0.6478435814305854,1.3075523025634372,0.25,0.25
87,0,8700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0087_iter0000_d000087.csv,uniform,uniform,0.7365120596173386,1.497100539786166,1.054247214425109,1.4612019993949115,0.25,0.25
88,0,8800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0088_iter0000_d000088.csv,uniform,uniform,0.8539763555897184,1.4252617332867816,0.5819260485805317,1.143873710670761,0.25,0.25
89,0,8900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0089_iter0000_d000089.csv,uniform,uniform,0.9295507081552967,1.48314394455475,0.7050455901236812,1.199417462768368,0.25,0.25
90,0,9000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0090_iter0000_d000090.csv,uniform,uniform,0.9930752016381288,1.4556243567664464,0.7859530530234623,1.2663961852208667,0.25,0.25
91,0,9100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0091_iter0000_d000091.csv,uniform,uniform,0.5435950091889926,0.95354988506877,0.8479821083384569,1.2961453165307257,0.25,0.25
92,0,9200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0092_iter0000_d000092.csv,uniform,uniform,1.0853197870560924,1.486897575655422,0.7712532729962651,1.3009963895633014,0.25,0.25
93,0,9300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0093_iter0000_d000093.csv,uniform,uniform,0.6393868851713186,1.3842735919111888,0.8862228572481863,1.4413732614887458,0.25,0.25
94,0,9400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0094_iter0000_d000094.csv,uniform,uniform,0.5496851455378968,1.1438050870093293,0.8118998446005391,1.3348382724214574,0.25,0.25
95,0,9500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0095_iter0000_d000095.csv,uniform,uniform,0.5243705371236471,1.0360584567714566,1.067014788982776,1.4723771856587762,0.25,0.25
96,0,9600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0096_iter0000_d000096.csv,uniform,uniform,1.0112313994776652,1.4842113645252237,0.7347762542468648,1.3052566798202196,0.25,0.25
97,0,9700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0097_iter0000_d000097.csv,uniform,uniform,0.9944010845899516,1.466280822304617,1.0021662418574426,1.47628476300537,0.25,0.25
98,0,9800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0098_iter0000_d000098.csv,uniform,uniform,0.9147628876643629,1.483879574698287,0.9936842798567533,1.4127214584379244,0.25,0.25
99,0,9900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0099_iter0000_d000099.csv,uniform,uniform,0.9489345650487471,1.3620291168271956,0.755513744176413,1.2921893162728386,0.25,0.25
100,0,10000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0100_iter0000_d000100.csv,uniform,uniform,0.6213008563852908,1.4702752286811998,0.5568660070167002,0.9595270458427275,0.25,0.25
101,0,10100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0101_iter0000_d000101.csv,uniform,uniform,0.693752482198387,1.496240064758942,0.6588170770330639,1.4253052011860485,0.25,0.25
102,0,10200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0102_iter0000_d000102.csv,uniform,uniform,0.6038681822122793,1.2947891412897714,1.0750456011076353,1.492925758174649,0.25,0.25
103,0,10300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0103_iter0000_d000103.csv,uniform,uniform,1.0883047851070917,1.4950243485863373,1.0900008239320529,1.4983706045793737,0.25,0.25
104,0,10400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0104_iter0000_d000104.csv,uniform,uniform,0.966948935661157,1.4851634607690303,0.8788949103569701,1.3576889253291595,0.25,0.25
105,0,10500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0105_iter0000_d000105.csv,uniform,uniform,0.8169694640341958,1.2810759924206419,0.9665264743290233,1.3892274515803964,0.25,0.25
106,0,10600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0106_iter0000_d000106.csv,uniform,uniform,0.8463187693919545,1.3822662693291186,0.9031416820866143,1.4528497946955274,0.25,0.25
107,0,10700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0107_iter0000_d000107.csv,uniform,uniform,0.5658967316383454,1.299679741798291,0.7483735294791157,1.3643430124918983,0.25,0.25
108,0,10800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0108_iter0000_d000108.csv,uniform,uniform,0.9163907258878972,1.4238902076368596,0.9397316461152292,1.4230752380659228,0.25,0.25
109,0,10900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0109_iter0000_d000109.csv,uniform,uniform,0.7777206854775631,1.2701403588606939,0.637491001998024,1.3590744823952146,0.25,0.25
110,0,11000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0110_iter0000_d000110.csv,uniform,uniform,0.9174268116874746,1.3531166773409566,1.0831024499666673,1.4944432538565176,0.25,0.25
111,0,11100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0111_iter0000_d000111.csv,uniform,uniform,0.8187296739258958,1.455327339340448,0.791912259981893,1.3385450393843141,0.25,0.25
112,0,11200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0112_iter0000_d000112.csv,uniform,uniform,0.6549646400465221,1.1244504502087382,0.9269723473285505,1.4730268867571765,0.25,0.25
113,0,11300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0113_iter0000_d000113.csv,uniform,uniform,0.9066792668575754,1.3779801128639375,0.8454332547314314,1.388859334398332,0.25,0.25
114,0,11400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0114_iter0000_d000114.csv,uniform,uniform,1.0619396500845766,1.4766946662447962,0.5988695912396022,1.4383273305290076,0.25,0.25
115,0,11500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0115_iter0000_d000115.csv,uniform,uniform,1.036837098132121,1.4398856931728208,0.6189344185036895,1.3250285843191105,0.25,0.25
116,0,11600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0116_iter0000_d000116.csv,uniform,uniform,0.9733070933809028,1.4501707304838893,0.614953517675935,1.0720151499319264,0.25,0.25
117,0,11700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0117_iter0000_d000117.csv,uniform,uniform,0.8035835804391102,1.4453142552956195,0.6302403086432757,1.0655346201975135,0.25,0.25
118,0,11800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0118_iter0000_d000118.csv,uniform,uniform,0.8306269974759828,1.2822973586047703,0.5404542322905618,1.3731311654440934,0.25,0.25
119,0,11900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0119_iter0000_d000119.csv,uniform,uniform,0.9927359636467535,1.435463042680545,0.6764458161009707,1.1938215282678144,0.25,0.25
120,0,12000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0120_iter0000_d000120.csv,uniform,uniform,0.7165828554970105,1.3377791366625975,0.8166920468674864,1.3173652960328377,0.25,0.25
121,0,12100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0121_iter0000_d000121.csv,uniform,uniform,0.8824525875429089,1.4294640459613264,0.8349673687850206,1.3376131591774008,0.25,0.25
122,0,12200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0122_iter0000_d000122.csv,uniform,uniform,0.8743416691634807,1.4079094632410671,0.7041943144283999,1.224202999111975,0.25,0.25
123,0,12300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0123_iter0000_d000123.csv,uniform,uniform,0.827449327411572,1.3943434802304941,0.8664790633530852,1.3558797537749523,0.25,0.25
124,0,12400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0124_iter0000_d000124.csv,uniform,uniform,0.8394643443297531,1.4962924825754722,0.756814711426371,1.4461249595247523,0.25,0.25
125,0,12500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0125_iter0000_d000125.csv,uniform,uniform,0.5487942147841741,1.4312250916090457,1.065023693317932,1.4741827294454373,0.25,0.25
126,0,12600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0126_iter0000_d000126.csv,uniform,uniform,0.5072608494033156,1.193558846113118,0.6096273545973667,1.4860887431171121,0.25,0.25
127,0,12700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0127_iter0000_d000127.csv,uniform,uniform,1.038619061070529,1.4975855737655022,0.8623217946444517,1.3847641861201774,0.25,0.25
128,0,12800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0128_iter0000_d000128.csv,uniform,uniform,0.9996307096281386,1.4651065123891633,0.6491346058203471,1.4703718487360244,0.25,0.25
